__time,/odrive_axis5/controller_status/active_errors,/odrive_axis5/controller_status/axis_state,/odrive_axis5/controller_status/iq_measured,/odrive_axis5/controller_status/iq_setpoint,/odrive_axis5/controller_status/pos_estimate,/odrive_axis5/controller_status/procedure_result,/odrive_axis5/controller_status/torque_estimate,/odrive_axis5/controller_status/torque_target,/odrive_axis5/controller_status/trajectory_done_flag,/odrive_axis5/controller_status/vel_estimate,/odrive_axis5/odrive_status/active_errors,/odrive_axis5/odrive_status/bus_current,/odrive_axis5/odrive_status/bus_voltage,/odrive_axis5/odrive_status/disarm_reason,/odrive_axis5/odrive_status/fet_temperature,/odrive_axis5/odrive_status/motor_temperature
1766086694.206816,0.000000000,8.000000000,0.006242111,0.000000000,-25.364210129,1.000000000,0.005933594,0.000000000,1.000000000,0.000000000,,,,,,
1766086694.216709,,,,,,,,,,,0.000000000,0.000000000,25.948242188,0.000000000,25.097015381,22.504608154
1766086694.316627,,,,,,,,,,,0.000000000,0.000061491,25.918544769,0.000000000,25.098602295,22.504608154
1766086694.416872,,,,,,,,,,,0.000000000,0.000000000,25.929967880,0.000000000,25.100646973,22.504608154
1766086694.457489,0.000000000,8.000000000,-0.073669471,0.000000000,-25.364210129,1.000000000,-0.070028335,0.000000000,1.000000000,0.000000000,,,,,,
1766086694.516636,,,,,,,,,,,0.000000000,0.000000000,25.913976669,0.000000000,25.104187012,22.504608154
1766086694.616797,,,,,,,,,,,0.000000000,0.000000000,25.941389084,0.000000000,25.103851318,22.504608154
1766086694.707013,0.000000000,8.000000000,0.200311750,0.000000000,-25.364210129,1.000000000,0.190411270,0.000000000,1.000000000,0.000000000,,,,,,
1766086694.716840,,,,,,,,,,,0.000000000,0.000000000,25.939104080,0.000000000,25.105133057,22.504608154
1766086694.820163,,,,,,,,,,,0.000000000,0.000000000,25.925397873,0.000000000,25.105926514,22.504608154
1766086694.920333,,,,,,,,,,,0.000000000,0.000000000,25.916261673,0.000000000,25.109191895,22.504608154
1766086694.956833,0.000000000,8.000000000,-0.023919627,0.000000000,-25.364210129,1.000000000,-0.022737391,0.000000000,1.000000000,0.000000000,,,,,,
1766086695.022632,,,,,,,,,,,0.000000000,-0.000000000,25.916261673,0.000000000,25.109771729,22.504608154
1766086695.115903,,,,,,,,,,,0.000000000,0.000038196,25.934535980,0.000000000,25.113128662,22.504608154
1766086695.205672,0.000000000,8.000000000,0.053925693,0.000000000,-25.364210129,1.000000000,0.051260397,0.000000000,1.000000000,0.000000000,,,,,,
1766086695.215658,,,,,,,,,,,0.000000000,0.000000000,25.925397873,0.000000000,25.114379883,22.504608154
1766086695.317683,,,,,,,,,,,0.000000000,0.000000000,25.925397873,0.000000000,25.115203857,22.504608154
1766086695.418823,,,,,,,,,,,0.000000000,0.000000000,25.913976669,0.000000000,25.118164063,22.504608154
1766086695.455943,0.000000000,8.000000000,0.182259291,0.000000000,-25.364210129,1.000000000,0.173251078,0.000000000,1.000000000,0.000000000,,,,,,
1766086695.515831,,,,,,,,,,,0.000000000,0.000000000,25.941389084,0.000000000,25.119262695,22.504608154
1766086695.615777,,,,,,,,,,,0.000000000,0.000000000,25.927682877,0.000000000,25.120971680,22.504608154
1766086695.706148,0.000000000,8.000000000,-0.125190482,0.000000000,-25.364210129,1.000000000,-0.119002901,0.000000000,1.000000000,0.000000000,,,,,,
1766086695.715751,,,,,,,,,,,0.000000000,0.000043695,25.918544769,0.000000000,25.123809814,22.504608154
1766086695.815798,,,,,,,,,,,0.000000000,0.000000000,25.929967880,0.000000000,25.124114990,22.504608154
1766086695.918685,,,,,,,,,,,0.000000000,0.000000000,25.920829773,0.000000000,25.125671387,22.504608154
1766086695.955849,0.000000000,8.000000000,-0.012532845,0.000000000,-25.364210129,1.000000000,-0.011913404,0.000000000,1.000000000,0.000000000,,,,,,
1766086696.020068,,,,,,,,,,,0.000000000,-0.000000000,25.927682877,0.000000000,25.127716064,22.504608154
1766086696.115717,,,,,,,,,,,0.000000000,0.000000000,25.918544769,0.000000000,25.127929688,22.504608154
1766086696.205898,0.000000000,8.000000000,-0.013606293,0.000000000,-25.364210129,1.000000000,-0.012933798,0.000000000,1.000000000,0.000000000,,,,,,
1766086696.215533,,,,,,,,,,,0.000000000,0.000000000,25.932250977,0.000000000,25.130432129,22.504608154
1766086696.315592,,,,,,,,,,,0.000000000,0.000000000,25.934535980,0.000000000,25.130126953,22.504608154
1766086696.414616,,,,,,,,,,,0.000000000,0.000051488,25.925397873,0.000000000,25.131256104,22.504608154
1766086696.454695,0.000000000,8.000000000,0.057442099,0.000000000,-25.364210129,1.000000000,0.054603010,0.000000000,1.000000000,0.000000000,,,,,,
1766086696.519257,,,,,,,,,,,0.000000000,0.000000000,25.920829773,0.000000000,25.133575439,22.504608154
1766086696.620558,,,,,,,,,,,0.000000000,0.000000000,25.913976669,0.000000000,25.136016846,22.504608154
1766086696.704880,0.000000000,8.000000000,-0.022248864,0.000000000,-25.364210129,1.000000000,-0.021149203,0.000000000,1.000000000,0.000000000,,,,,,
