__time,/odrive_axis5/controller_status/active_errors,/odrive_axis5/controller_status/axis_state,/odrive_axis5/controller_status/iq_measured,/odrive_axis5/controller_status/iq_setpoint,/odrive_axis5/controller_status/pos_estimate,/odrive_axis5/controller_status/procedure_result,/odrive_axis5/controller_status/torque_estimate,/odrive_axis5/controller_status/torque_target,/odrive_axis5/controller_status/trajectory_done_flag,/odrive_axis5/controller_status/vel_estimate,/odrive_axis5/odrive_status/active_errors,/odrive_axis5/odrive_status/bus_current,/odrive_axis5/odrive_status/bus_voltage,/odrive_axis5/odrive_status/disarm_reason,/odrive_axis5/odrive_status/fet_temperature,/odrive_axis5/odrive_status/motor_temperature
1766083560.059002,0.000000000,8.000000000,0.014863335,-0.000402471,-75.838264465,1.000000000,0.014128710,-0.000382618,1.000000000,0.000390625,,,,,,
1766083560.106816,,,,,,,,,,,0.000000000,0.000000000,25.941389084,0.000000000,24.958007813,22.261688232
1766083560.204589,,,,,,,,,,,0.000000000,0.000000000,25.925397873,0.000000000,24.959014893,22.261688232
1766083560.304355,,,,,,,,,,,0.000000000,0.000015503,25.948242188,0.000000000,24.959777832,22.261688232
1766083560.307603,0.000000000,8.000000000,-0.004680369,0.021587992,-75.838180542,1.000000000,-0.004449040,0.021693539,1.000000000,-0.007031251,,,,,,
1766083560.404451,,,,,,,,,,,0.000000000,-0.000000000,25.961948395,0.000000000,24.959381104,22.261688232
1766083560.504628,,,,,,,,,,,0.000000000,-0.000000000,25.948242188,0.000000000,24.959320068,22.261688232
1766083560.557832,0.000000000,8.000000000,0.005260646,-0.002916092,-75.838195801,1.000000000,0.005000636,-0.002772081,1.000000000,0.001171875,,,,,,
1766083560.604605,,,,,,,,,,,0.000000000,0.000000000,25.957380295,0.000000000,24.958801270,22.261688232
1766083560.704416,,,,,,,,,,,0.000000000,0.000028951,25.952810287,0.000000000,24.957427979,22.261688232
1766083560.804449,,,,,,,,,,,0.000000000,0.000000000,25.943674088,0.000000000,24.957885742,22.261688232
1766083560.807509,0.000000000,8.000000000,-0.076934010,0.000833470,-75.838272095,1.000000000,-0.073131524,0.000792276,1.000000000,0.000000000,,,,,,
1766083560.904600,,,,,,,,,,,0.000000000,0.000000000,25.939104080,0.000000000,24.957611084,22.261688232
1766083561.003755,,,,,,,,,,,0.000000000,0.000000000,25.939104080,0.000000000,24.960815430,22.261688232
1766083561.062130,0.000000000,8.000000000,0.054095149,0.002075645,-75.838294983,1.000000000,0.051421478,0.001973095,1.000000000,-0.000390625,,,,,,
1766083561.103726,,,,,,,,,,,0.000000000,0.000031187,25.952810287,0.000000000,24.957458496,22.261688232
1766083561.203469,,,,,,,,,,,0.000000000,0.000000000,25.929967880,0.000000000,24.957153320,22.261688232
1766083561.303387,,,,,,,,,,,0.000000000,0.000065838,25.943674088,0.000000000,24.958862305,22.261688232
1766083561.306473,0.000000000,8.000000000,-0.099152297,-0.000483608,-75.838172913,1.000000000,-0.094251662,-0.000459745,1.000000000,0.000390625,,,,,,
1766083561.403711,,,,,,,,,,,0.000000000,0.000000000,25.932250977,0.000000000,24.959075928,22.261688232
1766083561.503497,,,,,,,,,,,0.000000000,0.000000000,25.943674088,0.000000000,24.958587646,22.261688232
1766083561.556896,0.000000000,8.000000000,-0.159470648,-0.000549349,-75.838104248,1.000000000,-0.151588768,-0.000522237,1.000000000,0.000390625,,,,,,
